timestamp,ppso,pln,cac,pusc,fa,nr,plp,valid,null
1644201600,23785,46316,1065,22894,10113,27417,9713,152884,3356
1644203280,52915,93593,2135,45752,23762,55765,26690,325153,6252
1644204300,77911,134322,3095,65463,36085,79214,43164,474374,8543
1644202800,101526,172900,4073,83227,48276,101516,59947,616992,10668
1644206100,123557,208799,4911,99191,59675,121451,76423,748696,12582
1644207000,148715,248015,5878,116842,72903,142947,96346,896486,14524
1644207900,171857,284277,6775,132695,85349,161566,114565,1031298,16236
1644208800,192933,318241,7604,147660,97092,179458,132186,1158286,17934
1644209700,211435,347710,8334,160361,107115,195212,147104,1268521,19373
1644210600,227143,372721,8928,171336,116079,207927,160500,1362511,20502
1644211500,238681,391685,9426,179999,122746,218121,169950,1433584,21405
1644212400,247001,404940,9783,186089,127566,225171,176676,1483981,22116
1644213300,252303,413580,10036,189596,130767,228761,181357,1515244,22502
1644214200,255730,419359,10176,192071,132880,231376,184648,1536541,22712
1644215100,261015,428073,10386,195804,135880,236045,189243,1568901,23122
1644216000,265099,434598,10539,198481,138094,239271,192716,1592850,23406
1644217320,270374,442644,10737,201965,140827,242880,197314,1622841,23727
1644218100,271820,444928,10782,202912,141535,243873,198625,1631058,23835
1644219000,272754,446397,10814,203555,141983,244569,199251,1636282,23912
1644219900,273588,448178,10851,204116,142474,245087,200513,1642081,23972
1644238500,304092,496059,12046,224865,158316,269047,224293,1818725,26454
1644243600,304136,496144,12057,224972,158344,269222,224308,1819259,26492
1644254400,305157,497966,12135,225866,158991,270800,225239,1827043,26676
